Name,Sex,Country,NOC,Games,Year,Host_City,Sport,Event,Gold,Silver,Bronze,Type_Sport
Mohinder Lal,M,India,IND,1960 Summer,1960,Roma,Hockey,Hockey Men's Hockey,0,1,0,Team
Satoko Tanaka (-Uji),F,Japan,JPN,1960 Summer,1960,Roma,Swimming,Swimming Women's 100 metres Backstroke,0,0,1,Individual
Chaudhry Ghulam Rasool,M,Pakistan,PAK,1960 Summer,1960,Roma,Hockey,Hockey Men's Hockey,1,0,0,Team
Tatsuo Fujimoto,M,Japan,JPN,1960 Summer,1960,Roma,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,0,1,0,Team
Tsuyoshi Yamanaka,M,Japan,JPN,1960 Summer,1960,Roma,Swimming,Swimming Men's 400 metres Freestyle,0,1,0,Individual
Shankar Pillay Laxman,M,India,IND,1960 Summer,1960,Roma,Hockey,Hockey Men's Hockey,0,1,0,Team
Masao Takemoto,M,Japan,JPN,1960 Summer,1960,Roma,Gymnastics,Gymnastics Men's Horizontal Bar,0,1,0,Individual
Yoshihiko Osaki,M,Japan,JPN,1960 Summer,1960,Roma,Swimming,Swimming Men's 4 x 100 metres Medley Relay,0,0,1,Team
Tsuyoshi Yamanaka,M,Japan,JPN,1960 Summer,1960,Roma,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,0,1,0,Team
Habib Ali Kiddie,M,Pakistan,PAK,1960 Summer,1960,Roma,Hockey,Hockey Men's Hockey,1,0,0,Team
Khurshid Aslam,M,Pakistan,PAK,1960 Summer,1960,Roma,Hockey,Hockey Men's Hockey,1,0,0,Team
Mohamed Ibrahim Seifpour Saidabadi,M,Iran,IRI,1960 Summer,1960,Roma,Wrestling,"Wrestling Men's Flyweight, Freestyle",0,0,1,Individual
Yoshihisa Yoshikawa,M,Japan,JPN,1960 Summer,1960,Roma,Shooting,"Shooting Men's Free Pistol, 50 metres",0,0,1,Individual
Leslie Walter Claudius,M,India,IND,1960 Summer,1960,Roma,Hockey,Hockey Men's Hockey,0,1,0,Team
Jaswant Singh,M,India,IND,1960 Summer,1960,Roma,Hockey,Hockey Men's Hockey,0,1,0,Team
Yoshihiko Osaki,M,Japan,JPN,1960 Summer,1960,Roma,Swimming,Swimming Men's 200 metres Breaststroke,0,1,0,Individual
Kazuo Watanabe,M,Japan,JPN,1960 Summer,1960,Roma,Swimming,Swimming Men's 4 x 100 metres Medley Relay,0,0,1,Team
Koichi Hirakida,M,Japan,JPN,1960 Summer,1960,Roma,Swimming,Swimming Men's 4 x 100 metres Medley Relay,0,0,1,Team
"Joseph Anthony ""Joe"" Antic",M,India,IND,1960 Summer,1960,Roma,Hockey,Hockey Men's Hockey,0,1,0,Team
Yukio Endo,M,Japan,JPN,1960 Summer,1960,Roma,Gymnastics,Gymnastics Men's Team All-Around,1,0,0,Team
Motiullah Khan,M,Pakistan,PAK,1960 Summer,1960,Roma,Hockey,Hockey Men's Hockey,1,0,0,Team
Udham Singh Kular,M,India,IND,1960 Summer,1960,Roma,Hockey,Hockey Men's Hockey,0,1,0,Team
Ismail Elm Khah,M,Iran,IRI,1960 Summer,1960,Roma,Weightlifting,Weightlifting Men's Bantamweight,0,0,1,Individual
Noor Alam,M,Pakistan,PAK,1960 Summer,1960,Roma,Hockey,Hockey Men's Hockey,1,0,0,Team
Raghbir Singh Bhola,M,India,IND,1960 Summer,1960,Roma,Hockey,Hockey Men's Hockey,0,1,0,Team
Keigo Shimizu,M,Japan,JPN,1960 Summer,1960,Roma,Swimming,Swimming Men's 4 x 100 metres Medley Relay,0,0,1,Team
Nobuyuki Aihara,M,Japan,JPN,1960 Summer,1960,Roma,Gymnastics,Gymnastics Men's Floor Exercise,1,0,0,Individual
Nobuyuki Aihara,M,Japan,JPN,1960 Summer,1960,Roma,Gymnastics,Gymnastics Men's Team All-Around,1,0,0,Team
Mushtaq Ahmed,M,Pakistan,PAK,1960 Summer,1960,Roma,Hockey,Hockey Men's Hockey,1,0,0,Team
Abdul Hamid,M,Pakistan,PAK,1960 Summer,1960,Roma,Hockey,Hockey Men's Hockey,1,0,0,Team
Bashir Ahmed,M,Pakistan,PAK,1960 Summer,1960,Roma,Hockey,Hockey Men's Hockey,1,0,0,Team
Jaman Lal Sharma,M,India,IND,1960 Summer,1960,Roma,Hockey,Hockey Men's Hockey,0,1,0,Team
Lala Abdul Rashid,M,Pakistan,PAK,1960 Summer,1960,Roma,Hockey,Hockey Men's Hockey,1,0,0,Team
Manzoor Hussain Atif,M,Pakistan,PAK,1960 Summer,1960,Roma,Hockey,Hockey Men's Hockey,1,0,0,Team
Yoshinobu Miyake,M,Japan,JPN,1960 Summer,1960,Roma,Weightlifting,Weightlifting Men's Bantamweight,0,1,0,Individual
Prithipal Singh,M,India,IND,1960 Summer,1960,Roma,Hockey,Hockey Men's Hockey,0,1,0,Team
Takashi Ono,M,Japan,JPN,1960 Summer,1960,Roma,Gymnastics,Gymnastics Men's Horse Vault,1,0,0,Individual
