Name,Sex,Country,NOC,Games,Year,Host_City,Sport,Event,Gold,Silver,Bronze,Type_Sport
Masayuki Minami,M,Japan,JPN,1964 Summer,1964,Tokyo,Volleyball,Volleyball Men's Volleyball,0,0,1,Team
Khawaja Zaka-ud-Din,M,Pakistan,PAK,1964 Summer,1964,Tokyo,Hockey,Hockey Men's Hockey,0,1,0,Team
Takehide Nakatani,M,Japan,JPN,1964 Summer,1964,Tokyo,Judo,Judo Men's Lightweight,1,0,0,Individual
Kiyoko Ono (Oizumi-),F,Japan,JPN,1964 Summer,1964,Tokyo,Gymnastics,Gymnastics Women's Team All-Around,0,0,1,Team
Yoshikatsu Yoshida,M,Japan,JPN,1964 Summer,1964,Tokyo,Wrestling,"Wrestling Men's Flyweight, Freestyle",1,0,0,Individual
Tariq Aziz,M,Pakistan,PAK,1964 Summer,1964,Tokyo,Hockey,Hockey Men's Hockey,0,1,0,Team
Khurshid Azam,M,Pakistan,PAK,1964 Summer,1964,Tokyo,Hockey,Hockey Men's Hockey,0,1,0,Team
Takashi Mitsukuri,M,Japan,JPN,1964 Summer,1964,Tokyo,Gymnastics,Gymnastics Men's Team All-Around,1,0,0,Team
Shuji Tsurumi,M,Japan,JPN,1964 Summer,1964,Tokyo,Gymnastics,Gymnastics Men's Team All-Around,1,0,0,Team
Manzoor Hussain Atif,M,Pakistan,PAK,1964 Summer,1964,Tokyo,Hockey,Hockey Men's Hockey,0,1,0,Team
Taniko Nakamura-Mitsukuri,F,Japan,JPN,1964 Summer,1964,Tokyo,Gymnastics,Gymnastics Women's Team All-Around,0,0,1,Team
Yoshinobu Miyake,M,Japan,JPN,1964 Summer,1964,Tokyo,Weightlifting,Weightlifting Men's Featherweight,1,0,0,Individual
Zafar Hayat,M,Pakistan,PAK,1964 Summer,1964,Tokyo,Hockey,Hockey Men's Hockey,0,1,0,Team
Udham Singh Kular,M,India,IND,1964 Summer,1964,Tokyo,Hockey,Hockey Men's Hockey,1,0,0,Team
Motiullah Khan,M,Pakistan,PAK,1964 Summer,1964,Tokyo,Hockey,Hockey Men's Hockey,0,1,0,Team
Teruhisa Moriyama,M,Japan,JPN,1964 Summer,1964,Tokyo,Volleyball,Volleyball Men's Volleyball,0,0,1,Team
Isao Okano,M,Japan,JPN,1964 Summer,1964,Tokyo,Judo,Judo Men's Middleweight,1,0,0,Individual
Takuji Hayata,M,Japan,JPN,1964 Summer,1964,Tokyo,Gymnastics,Gymnastics Men's Rings,1,0,0,Individual
Masashi Ohuchi,M,Japan,JPN,1964 Summer,1964,Tokyo,Weightlifting,Weightlifting Men's Middleweight,0,0,1,Individual
Yukiaki Okabe,M,Japan,JPN,1964 Summer,1964,Tokyo,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,0,0,1,Team
Prithipal Singh,M,India,IND,1964 Summer,1964,Tokyo,Hockey,Hockey Men's Hockey,1,0,0,Team
Syed Mushtaq Ali,M,India,IND,1964 Summer,1964,Tokyo,Hockey,Hockey Men's Hockey,1,0,0,Team
Takuji Hayata,M,Japan,JPN,1964 Summer,1964,Tokyo,Gymnastics,Gymnastics Men's Team All-Around,1,0,0,Team
Iwao Horiuchi,M,Japan,JPN,1964 Summer,1964,Tokyo,Wrestling,"Wrestling Men's Lightweight, Freestyle",0,0,1,Individual
Osamu Watanabe,M,Japan,JPN,1964 Summer,1964,Tokyo,Wrestling,"Wrestling Men's Featherweight, Freestyle",1,0,0,Individual
Yoshihisa Yoshikawa,M,Japan,JPN,1964 Summer,1964,Tokyo,Shooting,"Shooting Men's Free Pistol, 50 metres",0,0,1,Individual
Emiko Miyamoto (-Terayama),F,Japan,JPN,1964 Summer,1964,Tokyo,Volleyball,Volleyball Women's Volleyball,1,0,0,Team
Saeed Anwar,M,Pakistan,PAK,1964 Summer,1964,Tokyo,Hockey,Hockey Men's Hockey,0,1,0,Team
Tsutomu Hanahara,M,Japan,JPN,1964 Summer,1964,Tokyo,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",1,0,0,Individual
Katsumi Matsumura (-Tida),F,Japan,JPN,1964 Summer,1964,Tokyo,Volleyball,Volleyball Women's Volleyball,1,0,0,Team
Kinuko Tanida (-Idogawa),F,Japan,JPN,1964 Summer,1964,Tokyo,Volleyball,Volleyball Women's Volleyball,1,0,0,Team
Muhammad Abdul Rashid,M,Pakistan,PAK,1964 Summer,1964,Tokyo,Hockey,Hockey Men's Hockey,0,1,0,Team
Shiro Ichinoseki,M,Japan,JPN,1964 Summer,1964,Tokyo,Weightlifting,Weightlifting Men's Bantamweight,0,0,1,Individual
Masamitsu Ichiguchi,M,Japan,JPN,1964 Summer,1964,Tokyo,Wrestling,"Wrestling Men's Bantamweight, Greco-Roman",1,0,0,Individual
Charanjit Singh,M,India,IND,1964 Summer,1964,Tokyo,Hockey,Hockey Men's Hockey,1,0,0,Team
Darshan Singh Kular,M,India,IND,1964 Summer,1964,Tokyo,Hockey,Hockey Men's Hockey,1,0,0,Team
Dharam Singh,M,India,IND,1964 Summer,1964,Tokyo,Hockey,Hockey Men's Hockey,1,0,0,Team
Masako Kondo,F,Japan,JPN,1964 Summer,1964,Tokyo,Volleyball,Volleyball Women's Volleyball,1,0,0,Team
Toshiaki Kosedo,M,Japan,JPN,1964 Summer,1964,Tokyo,Volleyball,Volleyball Men's Volleyball,0,0,1,Team
Tsutomu Koyama,M,Japan,JPN,1964 Summer,1964,Tokyo,Volleyball,Volleyball Men's Volleyball,0,0,1,Team
Ginko Abukawa-Chiba,F,Japan,JPN,1964 Summer,1964,Tokyo,Gymnastics,Gymnastics Women's Team All-Around,0,0,1,Team
Mohinder Lal,M,India,IND,1964 Summer,1964,Tokyo,Hockey,Hockey Men's Hockey,1,0,0,Team
Shankar Pillay Laxman,M,India,IND,1964 Summer,1964,Tokyo,Hockey,Hockey Men's Hockey,1,0,0,Team
Yoko Fujimoto (-Utida),F,Japan,JPN,1964 Summer,1964,Tokyo,Volleyball,Volleyball Women's Volleyball,1,0,0,Team
Sadatoshi Sugahara,M,Japan,JPN,1964 Summer,1964,Tokyo,Volleyball,Volleyball Men's Volleyball,0,0,1,Team
Muhammad Afzal Manna,M,Pakistan,PAK,1964 Summer,1964,Tokyo,Hockey,Hockey Men's Hockey,0,1,0,Team
Jeong Sin-Jo,M,South Korea,KOR,1964 Summer,1964,Tokyo,Boxing,Boxing Men's Bantamweight,0,1,0,Individual
Harbinder Singh Chimni,M,India,IND,1964 Summer,1964,Tokyo,Hockey,Hockey Men's Hockey,1,0,0,Team
Takashi Ono,M,Japan,JPN,1964 Summer,1964,Tokyo,Gymnastics,Gymnastics Men's Team All-Around,1,0,0,Team
Abdul Hamid,M,Pakistan,PAK,1964 Summer,1964,Tokyo,Hockey,Hockey Men's Hockey,0,1,0,Team
Muhammad Asad Malik,M,Pakistan,PAK,1964 Summer,1964,Tokyo,Hockey,Hockey Men's Hockey,0,1,0,Team
Hussain Khalid Mahmood,M,Pakistan,PAK,1964 Summer,1964,Tokyo,Hockey,Hockey Men's Hockey,0,1,0,Team
Gurbux Singh,M,India,IND,1964 Summer,1964,Tokyo,Hockey,Hockey Men's Hockey,1,0,0,Team
Katsutoshi Nekoda,M,Japan,JPN,1964 Summer,1964,Tokyo,Volleyball,Volleyball Men's Volleyball,0,0,1,Team
Sayed Ali Akbar Haydari,M,Iran,IRI,1964 Summer,1964,Tokyo,Wrestling,"Wrestling Men's Flyweight, Freestyle",0,0,1,Individual
Tariq Niazi,M,Pakistan,PAK,1964 Summer,1964,Tokyo,Hockey,Hockey Men's Hockey,0,1,0,Team
Makoto Fukui,M,Japan,JPN,1964 Summer,1964,Tokyo,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,0,0,1,Team
Keiko Tanaka-Ikeda,F,Japan,JPN,1964 Summer,1964,Tokyo,Gymnastics,Gymnastics Women's Team All-Around,0,0,1,Team
"Victor John ""V. J."" Peter",M,India,IND,1964 Summer,1964,Tokyo,Hockey,Hockey Men's Hockey,1,0,0,Team
Bandu Patil,M,India,IND,1964 Summer,1964,Tokyo,Hockey,Hockey Men's Hockey,1,0,0,Team
Parviz Jalayer,M,Iran,IRI,1968 Summer,1968,Mexico City,Weightlifting,Weightlifting Men's Lightweight,0,1,0,Individual
Eizo Yuguchi,M,Japan,JPN,1968 Summer,1968,Mexico City,Football,Football Men's Football,0,0,1,Team
Kenji Shimaoka,M,Japan,JPN,1968 Summer,1968,Mexico City,Volleyball,Volleyball Men's Volleyball,0,1,0,Team
Jang Sun-Gil,M,South Korea,KOR,1968 Summer,1968,Mexico City,Boxing,Boxing Men's Bantamweight,0,0,1,Individual
Mamoru Shiragami,M,Japan,JPN,1968 Summer,1968,Mexico City,Volleyball,Volleyball Men's Volleyball,0,1,0,Team
Keiko Hama,F,Japan,JPN,1968 Summer,1968,Mexico City,Volleyball,Volleyball Women's Volleyball,0,1,0,Team
Balbir Singh,M,India,IND,1968 Summer,1968,Mexico City,Hockey,Hockey Men's Hockey,0,0,1,Team
Tarsem Singh Kular,M,India,IND,1968 Summer,1968,Mexico City,Hockey,Hockey Men's Hockey,0,0,1,Team
Balbir Singh,M,India,IND,1968 Summer,1968,Mexico City,Hockey,Hockey Men's Hockey,0,0,1,Team
Zakir Hussain,M,Pakistan,PAK,1968 Summer,1968,Mexico City,Hockey,Hockey Men's Hockey,1,0,0,Team
Hideo Fujimoto,M,Japan,JPN,1968 Summer,1968,Mexico City,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",0,1,0,Individual
"Inder ""Gogi"" Singh",M,India,IND,1968 Summer,1968,Mexico City,Hockey,Hockey Men's Hockey,0,0,1,Team
Gurbux Singh,M,India,IND,1968 Summer,1968,Mexico City,Hockey,Hockey Men's Hockey,0,0,1,Team
Sachiko Fukunaka,F,Japan,JPN,1968 Summer,1968,Mexico City,Volleyball,Volleyball Women's Volleyball,0,1,0,Team
Ajitpal Singh Kular,M,India,IND,1968 Summer,1968,Mexico City,Hockey,Hockey Men's Hockey,0,0,1,Team
Kenzo Yokoyama,M,Japan,JPN,1968 Summer,1968,Mexico City,Football,Football Men's Football,0,0,1,Team
Harbinder Singh Chimni,M,India,IND,1968 Summer,1968,Mexico City,Hockey,Hockey Men's Hockey,0,0,1,Team
Harmik Singh,M,India,IND,1968 Summer,1968,Mexico City,Hockey,Hockey Men's Hockey,0,0,1,Team
Toyoko Iwahara,F,Japan,JPN,1968 Summer,1968,Mexico City,Volleyball,Volleyball Women's Volleyball,0,1,0,Team
Setsuko Yoshida,F,Japan,JPN,1968 Summer,1968,Mexico City,Volleyball,Volleyball Women's Volleyball,0,1,0,Team
Tadayoshi Yokota,M,Japan,JPN,1968 Summer,1968,Mexico City,Volleyball,Volleyball Men's Volleyball,0,1,0,Team
Jagjit Singh Kular,M,India,IND,1968 Summer,1968,Mexico City,Hockey,Hockey Men's Hockey,0,0,1,Team
Riaz ud-Din,M,Pakistan,PAK,1968 Summer,1968,Mexico City,Hockey,Hockey Men's Hockey,1,0,0,Team
Balbir Singh,M,India,IND,1968 Summer,1968,Mexico City,Hockey,Hockey Men's Hockey,0,0,1,Team
Kunie Shishikura,F,Japan,JPN,1968 Summer,1968,Mexico City,Volleyball,Volleyball Women's Volleyball,0,1,0,Team
Ryuichi Sugiyama,M,Japan,JPN,1968 Summer,1968,Mexico City,Football,Football Men's Football,0,0,1,Team
Mitsuo Tsukahara,M,Japan,JPN,1968 Summer,1968,Mexico City,Gymnastics,Gymnastics Men's Team All-Around,1,0,0,Team
Yukio Endo,M,Japan,JPN,1968 Summer,1968,Mexico City,Gymnastics,Gymnastics Men's Horse Vault,0,1,0,Individual
Yukio Endo,M,Japan,JPN,1968 Summer,1968,Mexico City,Gymnastics,Gymnastics Men's Team All-Around,1,0,0,Team
Prithipal Singh,M,India,IND,1968 Summer,1968,Mexico City,Hockey,Hockey Men's Hockey,0,0,1,Team
Setsuko Inoue,F,Japan,JPN,1968 Summer,1968,Mexico City,Volleyball,Volleyball Women's Volleyball,0,1,0,Team
Ji Yong-Ju,M,South Korea,KOR,1968 Summer,1968,Mexico City,Boxing,Boxing Men's Light-Flyweight,0,1,0,Individual
Yasuyuki Kuwahara,M,Japan,JPN,1968 Summer,1968,Mexico City,Football,Football Men's Football,0,0,1,Team
Tetsuo Sato,M,Japan,JPN,1968 Summer,1968,Mexico City,Volleyball,Volleyball Men's Volleyball,0,1,0,Team
Munir Sait,M,India,IND,1968 Summer,1968,Mexico City,Hockey,Hockey Men's Hockey,0,0,1,Team
Kenji Kimura,M,Japan,JPN,1968 Summer,1968,Mexico City,Volleyball,Volleyball Men's Volleyball,0,1,0,Team
Kenji Kimihara,M,Japan,JPN,1968 Summer,1968,Mexico City,Athletics,Athletics Men's Marathon,0,1,0,Individual
Seiji Oko,M,Japan,JPN,1968 Summer,1968,Mexico City,Volleyball,Volleyball Men's Volleyball,0,1,0,Team
Abutaleb Talebi Gorgori,M,Iran,IRI,1968 Summer,1968,Mexico City,Wrestling,"Wrestling Men's Bantamweight, Freestyle",0,0,1,Individual
Saeed Anwar,M,Pakistan,PAK,1968 Summer,1968,Mexico City,Hockey,Hockey Men's Hockey,1,0,0,Team
Takaji Mori,M,Japan,JPN,1968 Summer,1968,Mexico City,Football,Football Men's Football,0,0,1,Team
Isao Koizumi,M,Japan,JPN,1968 Summer,1968,Mexico City,Volleyball,Volleyball Men's Volleyball,0,1,0,Team
Eiji Morioka,M,Japan,JPN,1968 Summer,1968,Mexico City,Boxing,Boxing Men's Bantamweight,0,0,1,Individual
Chi (-Reel) Cheng,F,Chinese Taipei,TPE,1968 Summer,1968,Mexico City,Athletics,Athletics Women's 80 metres Hurdles,0,0,1,Individual
Abdullah Movahed Ardabili,M,Iran,IRI,1968 Summer,1968,Mexico City,Wrestling,"Wrestling Men's Lightweight, Freestyle",1,0,0,Individual
Chimedbazaryn Damdinsharav,M,Mongolia,MGL,1968 Summer,1968,Mexico City,Wrestling,"Wrestling Men's Flyweight, Freestyle",0,0,1,Individual
Suzue Takayama,F,Japan,JPN,1968 Summer,1968,Mexico City,Volleyball,Volleyball Women's Volleyball,0,1,0,Team
Sumie Oinuma,F,Japan,JPN,1968 Summer,1968,Mexico City,Volleyball,Volleyball Women's Volleyball,0,1,0,Team
Masashi Ohuchi,M,Japan,JPN,1968 Summer,1968,Mexico City,Weightlifting,Weightlifting Men's Middleweight,0,1,0,Individual
Aritatsu Ogi,M,Japan,JPN,1968 Summer,1968,Mexico City,Football,Football Men's Football,0,0,1,Team
Jungo Morita,M,Japan,JPN,1968 Summer,1968,Mexico City,Volleyball,Volleyball Men's Volleyball,0,1,0,Team
Masashi Watanabe,M,Japan,JPN,1968 Summer,1968,Mexico City,Football,Football Men's Football,0,0,1,Team
Yukiyo Kojima,F,Japan,JPN,1968 Summer,1968,Mexico City,Volleyball,Volleyball Women's Volleyball,0,1,0,Team
Teruki Miyamoto,M,Japan,JPN,1968 Summer,1968,Mexico City,Football,Football Men's Football,0,0,1,Team
Hussain Khalid Mahmood,M,Pakistan,PAK,1968 Summer,1968,Mexico City,Hockey,Hockey Men's Hockey,1,0,0,Team
Jahangir Ahmed Butt,M,Pakistan,PAK,1968 Summer,1968,Mexico City,Hockey,Hockey Men's Hockey,1,0,0,Team
Ikuo Matsumoto,M,Japan,JPN,1968 Summer,1968,Mexico City,Football,Football Men's Football,0,0,1,Team
Krishnamurty Perumal,M,India,IND,1968 Summer,1968,Mexico City,Hockey,Hockey Men's Hockey,0,0,1,Team
Kiyoshi Tomizawa,M,Japan,JPN,1968 Summer,1968,Mexico City,Football,Football Men's Football,0,0,1,Team
Tmriin Artag,M,Mongolia,MGL,1968 Summer,1968,Mexico City,Wrestling,"Wrestling Men's Welterweight, Freestyle",0,0,1,Individual
"Victor John ""V. J."" Peter",M,India,IND,1968 Summer,1968,Mexico City,Hockey,Hockey Men's Hockey,0,0,1,Team
Masayuki Minami,M,Japan,JPN,1968 Summer,1968,Mexico City,Volleyball,Volleyball Men's Volleyball,0,1,0,Team
Inam-ur Rahman,M,India,IND,1968 Summer,1968,Mexico City,Hockey,Hockey Men's Hockey,0,0,1,Team
Abdul Rashid,M,Pakistan,PAK,1968 Summer,1968,Mexico City,Hockey,Hockey Men's Hockey,1,0,0,Team
Tariq Aziz,M,Pakistan,PAK,1968 Summer,1968,Mexico City,Hockey,Hockey Men's Hockey,1,0,0,Team
Yasuaki Mitsumori,M,Japan,JPN,1968 Summer,1968,Mexico City,Volleyball,Volleyball Men's Volleyball,0,1,0,Team
Shigeo Yaegashi,M,Japan,JPN,1968 Summer,1968,Mexico City,Football,Football Men's Football,0,0,1,Team
Yoshinobu Miyake,M,Japan,JPN,1968 Summer,1968,Mexico City,Weightlifting,Weightlifting Men's Featherweight,1,0,0,Individual
Yoshiyuki Miyake,M,Japan,JPN,1968 Summer,1968,Mexico City,Weightlifting,Weightlifting Men's Featherweight,0,0,1,Individual
Yoshitada Yamaguchi,M,Japan,JPN,1968 Summer,1968,Mexico City,Football,Football Men's Football,0,0,1,Team
Masakatsu Miyamoto,M,Japan,JPN,1968 Summer,1968,Mexico City,Football,Football Men's Football,0,0,1,Team
Eizo Kenmotsu,M,Japan,JPN,1968 Summer,1968,Mexico City,Gymnastics,Gymnastics Men's Horizontal Bar,0,0,1,Individual
Eizo Kenmotsu,M,Japan,JPN,1968 Summer,1968,Mexico City,Gymnastics,Gymnastics Men's Team All-Around,1,0,0,Team
Munji Munemura,M,Japan,JPN,1968 Summer,1968,Mexico City,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",1,0,0,Individual
Shigeo Nakata,M,Japan,JPN,1968 Summer,1968,Mexico City,Wrestling,"Wrestling Men's Flyweight, Freestyle",1,0,0,Individual
Tanvir Ahmad Dar,M,Pakistan,PAK,1968 Summer,1968,Mexico City,Hockey,Hockey Men's Hockey,1,0,0,Team
Sawao Kato,M,Japan,JPN,1968 Summer,1968,Mexico City,Gymnastics,Gymnastics Men's Team All-Around,1,0,0,Team
Sawao Kato,M,Japan,JPN,1968 Summer,1968,Mexico City,Gymnastics,Gymnastics Men's Individual All-Around,1,0,0,Individual
Hiroshi Katayama,M,Japan,JPN,1968 Summer,1968,Mexico City,Football,Football Men's Football,0,0,1,Team
Mohammad Nassiri Seresht,M,Iran,IRI,1968 Summer,1968,Mexico City,Weightlifting,Weightlifting Men's Bantamweight,1,0,0,Individual
Riaz Ahmed,M,Pakistan,PAK,1968 Summer,1968,Mexico City,Hockey,Hockey Men's Hockey,1,0,0,Team
Katsutoshi Nekoda,M,Japan,JPN,1968 Summer,1968,Mexico City,Volleyball,Volleyball Men's Volleyball,0,1,0,Team
Muhammad Ashfaq Ahmed,M,Pakistan,PAK,1968 Summer,1968,Mexico City,Hockey,Hockey Men's Hockey,1,0,0,Team
Masaaki Kaneko,M,Japan,JPN,1968 Summer,1968,Mexico City,Wrestling,"Wrestling Men's Featherweight, Freestyle",1,0,0,Individual
Mitsuo Kamata,M,Japan,JPN,1968 Summer,1968,Mexico City,Football,Football Men's Football,0,0,1,Team
Kunishige Kamamoto,M,Japan,JPN,1968 Summer,1968,Mexico City,Football,Football Men's Football,0,0,1,Team
Tariq Niazi,M,Pakistan,PAK,1968 Summer,1968,Mexico City,Hockey,Hockey Men's Hockey,1,0,0,Team
Seyyed Shamseddin Seyyed Abbasi,M,Iran,IRI,1968 Summer,1968,Mexico City,Wrestling,"Wrestling Men's Featherweight, Freestyle",0,0,1,Individual
Yojiro Uetake,M,Japan,JPN,1968 Summer,1968,Mexico City,Wrestling,"Wrestling Men's Bantamweight, Freestyle",1,0,0,Individual
Jigjidiin Mnkhbat,M,Mongolia,MGL,1968 Summer,1968,Mexico City,Wrestling,"Wrestling Men's Middleweight, Freestyle",0,1,0,Individual
Gulraiz Akhtar,M,Pakistan,PAK,1968 Summer,1968,Mexico City,Hockey,Hockey Men's Hockey,1,0,0,Team
Danzandarjaagiin Sereeter,M,Mongolia,MGL,1968 Summer,1968,Mexico City,Wrestling,"Wrestling Men's Lightweight, Freestyle",0,0,1,Individual
Muhammad Asad Malik,M,Pakistan,PAK,1968 Summer,1968,Mexico City,Hockey,Hockey Men's Hockey,1,0,0,Team
Sawao Kato,M,Japan,JPN,1968 Summer,1968,Mexico City,Gymnastics,Gymnastics Men's Rings,0,0,1,Individual
Akinori Nakayama,M,Japan,JPN,1968 Summer,1968,Mexico City,Gymnastics,Gymnastics Men's Floor Exercise,0,1,0,Individual
Akinori Nakayama,M,Japan,JPN,1968 Summer,1968,Mexico City,Gymnastics,Gymnastics Men's Parallel Bars,1,0,0,Individual
Akinori Nakayama,M,Japan,JPN,1968 Summer,1968,Mexico City,Gymnastics,Gymnastics Men's Team All-Around,1,0,0,Team
Takeshi Kato,M,Japan,JPN,1968 Summer,1968,Mexico City,Gymnastics,Gymnastics Men's Team All-Around,1,0,0,Team
Takeshi Kato,M,Japan,JPN,1968 Summer,1968,Mexico City,Gymnastics,Gymnastics Men's Floor Exercise,0,0,1,Individual
Akinori Nakayama,M,Japan,JPN,1968 Summer,1968,Mexico City,Gymnastics,Gymnastics Men's Horizontal Bar,1,0,0,Individual
Sawao Kato,M,Japan,JPN,1968 Summer,1968,Mexico City,Gymnastics,Gymnastics Men's Floor Exercise,1,0,0,Individual
Rajendra Absolem Christy,M,India,IND,1968 Summer,1968,Mexico City,Hockey,Hockey Men's Hockey,0,0,1,Team
Akinori Nakayama,M,Japan,JPN,1968 Summer,1968,Mexico City,Gymnastics,Gymnastics Men's Rings,1,0,0,Individual
Akinori Nakayama,M,Japan,JPN,1968 Summer,1968,Mexico City,Gymnastics,Gymnastics Men's Individual All-Around,0,0,1,Individual
Katsumi Matsumura (-Tida),F,Japan,JPN,1972 Summer,1972,Munich,Volleyball,Volleyball Women's Volleyball,0,1,0,Team
Motoki Nishimura,M,Japan,JPN,1972 Summer,1972,Munich,Judo,Judo Men's Heavyweight,0,0,1,Individual
Yuzo Nakamura,M,Japan,JPN,1972 Summer,1972,Munich,Volleyball,Volleyball Men's Volleyball,1,0,0,Team
Toyokazu Nomura,M,Japan,JPN,1972 Summer,1972,Munich,Judo,Judo Men's Half-Middleweight,1,0,0,Individual
Harmik Singh,M,India,IND,1972 Summer,1972,Munich,Hockey,Hockey Men's Hockey,0,0,1,Team
Muhammad Asad Malik,M,Pakistan,PAK,1972 Summer,1972,Munich,Hockey,Hockey Men's Hockey,0,1,0,Team
Masayuki Minami,M,Japan,JPN,1972 Summer,1972,Munich,Volleyball,Volleyball Men's Volleyball,1,0,0,Team
Tetsuo Nishimoto,M,Japan,JPN,1972 Summer,1972,Munich,Volleyball,Volleyball Men's Volleyball,1,0,0,Team
Katsutoshi Nekoda,M,Japan,JPN,1972 Summer,1972,Munich,Volleyball,Volleyball Men's Volleyball,1,0,0,Team
Varinder Singh,M,India,IND,1972 Summer,1972,Munich,Hockey,Hockey Men's Hockey,0,0,1,Team
Sumie Oinuma,F,Japan,JPN,1972 Summer,1972,Munich,Volleyball,Volleyball Women's Volleyball,0,1,0,Team
Mohammad Nassiri Seresht,M,Iran,IRI,1972 Summer,1972,Munich,Weightlifting,Weightlifting Men's Bantamweight,0,1,0,Individual
Mariko Okamoto (-Nakano),F,Japan,JPN,1972 Summer,1972,Munich,Volleyball,Volleyball Women's Volleyball,0,1,0,Team
Akinori Nakayama,M,Japan,JPN,1972 Summer,1972,Munich,Gymnastics,Gymnastics Men's Rings,1,0,0,Individual
Akinori Nakayama,M,Japan,JPN,1972 Summer,1972,Munich,Gymnastics,Gymnastics Men's Floor Exercise,0,1,0,Individual
Akinori Nakayama,M,Japan,JPN,1972 Summer,1972,Munich,Gymnastics,Gymnastics Men's Team All-Around,1,0,0,Team
Seiji Oko,M,Japan,JPN,1972 Summer,1972,Munich,Volleyball,Volleyball Men's Volleyball,1,0,0,Team
O Seung-Rip,M,South Korea,KOR,1972 Summer,1972,Munich,Judo,Judo Men's Middleweight,0,1,0,Individual
Teruichi Okamura,M,Japan,JPN,1972 Summer,1972,Munich,Gymnastics,Gymnastics Men's Team All-Around,1,0,0,Team
Jungo Morita,M,Japan,JPN,1972 Summer,1972,Munich,Volleyball,Volleyball Men's Volleyball,1,0,0,Team
Akinori Nakayama,M,Japan,JPN,1972 Summer,1972,Munich,Gymnastics,Gymnastics Men's Individual All-Around,0,0,1,Individual
Mukhbain Singh,M,India,IND,1972 Summer,1972,Munich,Hockey,Hockey Men's Hockey,0,0,1,Team
Ganesh Mollerapoovayya,M,India,IND,1972 Summer,1972,Munich,Hockey,Hockey Men's Hockey,0,0,1,Team
Koichiro Hirayama,M,Japan,JPN,1972 Summer,1972,Munich,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",0,1,0,Individual
Keiko Hama,F,Japan,JPN,1972 Summer,1972,Munich,Volleyball,Volleyball Women's Volleyball,0,1,0,Team
Kulwant Singh,M,India,IND,1972 Summer,1972,Munich,Hockey,Hockey Men's Hockey,0,0,1,Team
Muhammad Shahnaz Sheikh,M,Pakistan,PAK,1972 Summer,1972,Munich,Hockey,Hockey Men's Hockey,0,1,0,Team
Harbinder Singh Chimni,M,India,IND,1972 Summer,1972,Munich,Hockey,Hockey Men's Hockey,0,0,1,Team
Eizo Kenmotsu,M,Japan,JPN,1972 Summer,1972,Munich,Gymnastics,Gymnastics Men's Team All-Around,1,0,0,Team
Eizo Kenmotsu,M,Japan,JPN,1972 Summer,1972,Munich,Gymnastics,Gymnastics Men's Individual All-Around,0,1,0,Individual
Islah-ud-Din Siddiqui,M,Pakistan,PAK,1972 Summer,1972,Munich,Hockey,Hockey Men's Hockey,0,1,0,Team
Akhtarul Islam,M,Pakistan,PAK,1972 Summer,1972,Munich,Hockey,Hockey Men's Hockey,0,1,0,Team
Takao Kawaguchi,M,Japan,JPN,1972 Summer,1972,Munich,Judo,Judo Men's Lightweight,1,0,0,Individual
Sawao Kato,M,Japan,JPN,1972 Summer,1972,Munich,Gymnastics,Gymnastics Men's Pommelled Horse,0,1,0,Individual
Sawao Kato,M,Japan,JPN,1972 Summer,1972,Munich,Gymnastics,Gymnastics Men's Horizontal Bar,0,1,0,Individual
Sawao Kato,M,Japan,JPN,1972 Summer,1972,Munich,Gymnastics,Gymnastics Men's Parallel Bars,1,0,0,Individual
Sawao Kato,M,Japan,JPN,1972 Summer,1972,Munich,Gymnastics,Gymnastics Men's Team All-Around,1,0,0,Team
Sawao Kato,M,Japan,JPN,1972 Summer,1972,Munich,Gymnastics,Gymnastics Men's Individual All-Around,1,0,0,Individual
Toyoko Iwahara,F,Japan,JPN,1972 Summer,1972,Munich,Volleyball,Volleyball Women's Volleyball,0,1,0,Team
Takako Shirai (-Takagi),F,Japan,JPN,1972 Summer,1972,Munich,Volleyball,Volleyball Women's Volleyball,0,1,0,Team
Eizo Kenmotsu,M,Japan,JPN,1972 Summer,1972,Munich,Gymnastics,Gymnastics Men's Parallel Bars,0,0,1,Individual
Michiko Shiokawa (-Furuhashi),F,Japan,JPN,1972 Summer,1972,Munich,Volleyball,Volleyball Women's Volleyball,0,1,0,Team
Kiyomi Kato,M,Japan,JPN,1972 Summer,1972,Munich,Wrestling,"Wrestling Men's Flyweight, Freestyle",1,0,0,Individual
Shigeru Kasamatsu,M,Japan,JPN,1972 Summer,1972,Munich,Gymnastics,Gymnastics Men's Horizontal Bar,0,0,1,Individual
Shigeru Kasamatsu,M,Japan,JPN,1972 Summer,1972,Munich,Gymnastics,Gymnastics Men's Parallel Bars,0,1,0,Individual
Shigeru Kasamatsu,M,Japan,JPN,1972 Summer,1972,Munich,Gymnastics,Gymnastics Men's Floor Exercise,0,0,1,Individual
Shigeru Kasamatsu,M,Japan,JPN,1972 Summer,1972,Munich,Gymnastics,Gymnastics Men's Team All-Around,1,0,0,Team
