Name,Gender,Country,Year,Host_City,Sport,Event,Sport_Type,Gold,Silver,Bronze
Hitomi Obara (Sakamoto-),F,Japan,2012,London,Wrestling,"Wrestling Women's Flyweight, Freestyle",Individual,1,0,0
Adilbek Sabitovich Niyazymbetov,M,Kazakhstan,2012,London,Boxing,Boxing Men's Light-Heavyweight,Individual,0,1,0
O Sang-Eun,M,South Korea,2012,London,Table Tennis,Table Tennis Men's Team,Team,0,1,0
O Jae-Seok,M,South Korea,2012,London,Football,Football Men's Football,Team,0,0,1
Choi In-Jeong,F,South Korea,2012,London,Fencing,"Fencing Women's epee, Team",Team,0,1,0
O Eun-Seok,M,South Korea,2012,London,Fencing,"Fencing Men's Sabre, Team",Team,1,0,0
Nyambayaryn Tgstsogt,M,Mongolia,2012,London,Boxing,Boxing Men's Flyweight,Individual,0,1,0
Deng Linlin,F,China,2012,London,Gymnastics,Gymnastics Women's Balance Beam,Individual,1,0,0
Navab Nassirshalal,M,Iran,2012,London,Weightlifting,Weightlifting Men's Heavyweight,Individual,0,1,0
Zulfiya Salakharovna Chinshanlo,F,Kazakhstan,2012,London,Weightlifting,Weightlifting Women's Featherweight,Individual,1,0,0
Omid Haji Norouzi,M,Iran,2012,London,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",Individual,1,0,0
Cheng Ming,F,China,2012,London,Archery,Archery Women's Team,Team,0,1,0
Nam Hyeon-Hui,F,South Korea,2012,London,Fencing,"Fencing Women's Foil, Team",Team,0,0,1
Park Jong-Wu,M,South Korea,2012,London,Football,Football Men's Football,Team,0,0,1
Riki Nakaya,M,Japan,2012,London,Judo,Judo Men's Lightweight,Individual,0,1,0
Park Tae-Hwan,M,South Korea,2012,London,Swimming,Swimming Men's 200 metres Freestyle,Individual,0,1,0
Park Tae-Hwan,M,South Korea,2012,London,Swimming,Swimming Men's 400 metres Freestyle,Individual,0,1,0
Nam Tae-Hui,M,South Korea,2012,London,Football,Football Men's Football,Team,0,0,1
Kaeo Pongprayoon,M,Thailand,2012,London,Boxing,Boxing Men's Light-Flyweight,Individual,0,1,0
Qieyang Shenjie,F,China,2012,London,Athletics,Athletics Women's 20 kilometres Walk,Individual,0,0,1
Svetlana Nikolayevna Podobedova,F,Kazakhstan,2012,London,Weightlifting,Weightlifting Women's Heavyweight,Individual,1,0,0
Park Ju-Yeong,M,South Korea,2012,London,Football,Football Men's Football,Team,0,0,1
Qin Kai,M,China,2012,London,Diving,Diving Men's Springboard,Individual,0,1,0
Qin Kai,M,China,2012,London,Diving,Diving Men's Synchronized Springboard,Team,1,0,0
Gagan Narang,M,India,2012,London,Shooting,"Shooting Men's Air Rifle, 10 metres",Individual,0,0,1
Mohd Azizulhasni Awang,M,Malaysia,2016,Rio de Janeiro,Cycling,Cycling Men's Keirin,Individual,0,0,1
Maharu Yoshimura,M,Japan,2016,Rio de Janeiro,Table Tennis,Table Tennis Men's Team,Team,0,1,0
Ahmad Abughaush,M,Jordan,2016,Rio de Janeiro,Taekwondo,Taekwondo Men's Featherweight,Individual,1,0,0
Duan Jingli,F,China,2016,Rio de Janeiro,Rowing,Rowing Women's Single Sculls,Individual,0,0,1
Kosuke Hagino,M,Japan,2016,Rio de Janeiro,Swimming,Swimming Men's 400 metres Individual Medley,Individual,1,0,0
Zhu Ting,F,China,2016,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,Team,1,0,0
You Hao,M,China,2016,Rio de Janeiro,Gymnastics,Gymnastics Men's Team All-Around,Team,0,0,1
Hasanboy Dusmatov,M,Uzbekistan,2016,Rio de Janeiro,Boxing,Boxing Men's Light-Flyweight,Individual,1,0,0
Ding Ning,F,China,2016,Rio de Janeiro,Table Tennis,Table Tennis Women's Singles,Individual,1,0,0
Natsumi Hoshi,F,Japan,2016,Rio de Janeiro,Swimming,Swimming Women's 200 metres Butterfly,Individual,0,0,1
Aika Hakoyama,F,Japan,2016,Rio de Janeiro,Synchronized Swimming,Synchronized Swimming Women's Team,Team,0,0,1
Ivan Fyodorovich Dychko,M,Kazakhstan,2016,Rio de Janeiro,Boxing,Boxing Men's Super-Heavyweight,Individual,0,0,1
Hidilyn Diaz,F,Philippines,2016,Rio de Janeiro,Weightlifting,Weightlifting Women's Featherweight,Individual,0,1,0
Hirooki Arai,M,Japan,2016,Rio de Janeiro,Athletics,Athletics Men's 50 kilometres Walk,Individual,0,0,1
Kosuke Hagino,M,Japan,2016,Rio de Janeiro,Swimming,Swimming Men's 200 metres Individual Medley,Individual,0,1,0
Ding Xia,F,China,2016,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,Team,1,0,0
Ding Ning,F,China,2016,Rio de Janeiro,Table Tennis,Table Tennis Women's Team,Team,1,0,0
Dong Bin,M,China,2016,Rio de Janeiro,Athletics,Athletics Men's Triple Jump,Individual,0,0,1
Murodzhon Kakharovich Akhmadaliyev,M,Uzbekistan,2016,Rio de Janeiro,Boxing,Boxing Men's Bantamweight,Individual,0,0,1
Deng Wei,F,China,2016,Rio de Janeiro,Weightlifting,Weightlifting Women's Middleweight,Individual,1,0,0
Deng Shudi,M,China,2016,Rio de Janeiro,Gymnastics,Gymnastics Men's Team All-Around,Team,0,0,1
Shakhobiddin Shokirovich Zoirov,M,Uzbekistan,2016,Rio de Janeiro,Boxing,Boxing Men's Flyweight,Individual,1,0,0
He Zi,F,China,2016,Rio de Janeiro,Diving,Diving Women's Springboard,Individual,0,1,0
Dong Dong,M,China,2016,Rio de Janeiro,Trampolining,Trampolining Men's Individual,Individual,0,1,0
Kimia Alizadeh Zenoorin,F,Iran,2016,Rio de Janeiro,Taekwondo,Taekwondo Women's Featherweight,Individual,0,0,1
Tontowi Ahmad,M,Indonesia,2016,Rio de Janeiro,Badminton,Badminton Mixed Doubles,Team,1,0,0
Rei Higuchi,M,Japan,2016,Rio de Janeiro,Wrestling,"Wrestling Men's Featherweight, Freestyle",Individual,0,1,0
Hisayoshi Harasawa,M,Japan,2016,Rio de Janeiro,Judo,Judo Men's Heavyweight,Individual,0,1,0
Dorjnyambuugiin Otgondalai,M,Mongolia,2016,Rio de Janeiro,Boxing,Boxing Men's Lightweight,Individual,0,0,1
Sri Wahyuni Agustiani,F,Indonesia,2016,Rio de Janeiro,Weightlifting,Weightlifting Women's Flyweight,Individual,0,1,0
An Ba-Ul,M,South Korea,2016,Rio de Janeiro,Judo,Judo Men's Half-Lightweight,Individual,0,1,0
Dorjsurengiin Sumiya,F,Mongolia,2016,Rio de Janeiro,Judo,Judo Women's Lightweight,Individual,0,1,0
Zhang Wenxiu,F,China,2016,Rio de Janeiro,Athletics,Athletics Women's Hammer Throw,Individual,0,1,0
Sara Dosho,F,Japan,2016,Rio de Janeiro,Wrestling,"Wrestling Women's Light-Heavyweight, Freestyle",Individual,1,0,0
Hao Jialu,F,China,2016,Rio de Janeiro,Fencing,"Fencing Women's epee, Team",Team,0,1,0
Yu Song,F,China,2016,Rio de Janeiro,Judo,Judo Women's Heavyweight,Individual,0,0,1
Hong Xun Vinh,M,Vietnam,2016,Rio de Janeiro,Shooting,"Shooting Men's Air Pistol, 10 metres",Individual,1,0,0
Tawin Hanprab,M,Thailand,2016,Rio de Janeiro,Taekwondo,Taekwondo Men's Flyweight,Individual,0,1,0
Du Li,F,China,2016,Rio de Janeiro,Shooting,"Shooting Women's Air Rifle, 10 metres",Individual,0,1,0
Takuya Haneda,M,Japan,2016,Rio de Janeiro,Canoeing,"Canoeing Men's Canadian Singles, Slalom",Individual,0,0,1
Hong Xun Vinh,M,Vietnam,2016,Rio de Janeiro,Shooting,"Shooting Men's Free Pistol, 50 metres",Individual,0,1,0
Du Li,F,China,2016,Rio de Janeiro,Shooting,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",Individual,0,0,1
Ai Fukuhara,F,Japan,2016,Rio de Janeiro,Table Tennis,Table Tennis Women's Team,Team,0,0,1
Kosuke Hagino,M,Japan,2016,Rio de Janeiro,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Team,0,0,1
Gong Jinjie,F,China,2016,Rio de Janeiro,Cycling,Cycling Women's Team Sprint,Team,1,0,0
Cheong Jun Hoong,F,Malaysia,2016,Rio de Janeiro,Diving,Diving Women's Synchronized Platform,Team,0,1,0
Chen Long,M,China,2016,Rio de Janeiro,Badminton,Badminton Men's Singles,Individual,1,0,0
Zhang Jike,M,China,2016,Rio de Janeiro,Table Tennis,Table Tennis Men's Team,Team,1,0,0
Goh V Shem,M,Malaysia,2016,Rio de Janeiro,Badminton,Badminton Men's Doubles,Team,0,1,0
Goh Liu Ying,F,Malaysia,2016,Rio de Janeiro,Badminton,Badminton Mixed Doubles,Team,0,1,0
Shakhram Dzhamshedovich Giyasov,M,Uzbekistan,2016,Rio de Janeiro,Boxing,Boxing Men's Welterweight,Individual,0,1,0
Chen Peina,F,China,2016,Rio de Janeiro,Sailing,Sailing Women's Windsurfer,Individual,0,1,0
Cheng Xunzhao,M,China,2016,Rio de Janeiro,Judo,Judo Men's Middleweight,Individual,0,0,1
Zhang Jike,M,China,2016,Rio de Janeiro,Table Tennis,Table Tennis Men's Singles,Individual,0,1,0
Aleksandr Sergeyevich Zaychikov,M,Kazakhstan,2016,Rio de Janeiro,Weightlifting,Weightlifting Men's Heavyweight,Individual,0,0,1
Zheng Shuyin,F,China,2016,Rio de Janeiro,Taekwondo,Taekwondo Women's Heavyweight,Individual,1,0,0
Komeil Nemat Ghasemi,M,Iran,2016,Rio de Janeiro,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",Individual,0,1,0
Zeng Zhen,F,China,2016,Rio de Janeiro,Synchronized Swimming,Synchronized Swimming Women's Team,Team,0,1,0
Fu Haifeng,M,China,2016,Rio de Janeiro,Badminton,Badminton Men's Doubles,Team,1,0,0
Fazliddin Khasanbayevich Gaybnazarov,M,Uzbekistan,2016,Rio de Janeiro,Boxing,Boxing Men's Light-Welterweight,Individual,1,0,0
Fu Yuanhui,F,China,2016,Rio de Janeiro,Swimming,Swimming Women's 100 metres Backstroke,Individual,0,0,1
Gao Lei,M,China,2016,Rio de Janeiro,Trampolining,Trampolining Men's Individual,Individual,0,0,1
Otgontsetseg Galbadrakhyn,F,Kazakhstan,2016,Rio de Janeiro,Judo,Judo Women's Extra-Lightweight,Individual,0,0,1
Zhang Binbin,F,China,2016,Rio de Janeiro,Shooting,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",Individual,0,1,0
Chen Ruolin,F,China,2016,Rio de Janeiro,Diving,Diving Women's Synchronized Platform,Team,1,0,0
Zhang Changning,F,China,2016,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,Team,1,0,0
Zhang Chenglong,M,China,2016,Rio de Janeiro,Gymnastics,Gymnastics Men's Team All-Around,Team,0,0,1
Zhazira Abdrakhmanovna Zhapparkul,F,Kazakhstan,2016,Rio de Janeiro,Weightlifting,Weightlifting Women's Light-Heavyweight,Individual,0,1,0
Zhao Yunlei,F,China,2016,Rio de Janeiro,Badminton,Badminton Mixed Doubles,Team,0,0,1
Zhao Shuai,M,China,2016,Rio de Janeiro,Taekwondo,Taekwondo Men's Flyweight,Individual,1,0,0
Choi Mi-Sun,F,South Korea,2016,Rio de Janeiro,Archery,Archery Women's Team,Team,1,0,0
Gong Xiangyu,F,China,2016,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,Team,1,0,0
Choe Hyo-Sim,F,North Korea,2016,Rio de Janeiro,Weightlifting,Weightlifting Women's Middleweight,Individual,0,1,0
Zhang Nan,M,China,2016,Rio de Janeiro,Badminton,Badminton Men's Doubles,Team,1,0,0
Zhang Nan,M,China,2016,Rio de Janeiro,Badminton,Badminton Mixed Doubles,Team,0,0,1
Mashu Baker,M,Japan,2016,Rio de Janeiro,Judo,Judo Men's Middleweight,Individual,1,0,0
Ryunosuke Haga,M,Japan,2016,Rio de Janeiro,Judo,Judo Men's Half-Heavyweight,Individual,0,0,1
Dmitry Igorevich Balandin,M,Kazakhstan,2016,Rio de Janeiro,Swimming,Swimming Men's 200 metres Breaststroke,Individual,1,0,0
Zhang Fengliu,F,China,2016,Rio de Janeiro,Wrestling,"Wrestling Women's Heavyweight, Freestyle",Individual,0,0,1
Mutaz Essa Barshim,M,Qatar,2016,Rio de Janeiro,Athletics,Athletics Men's High Jump,Individual,0,1,0
Masashi Ebinuma,M,Japan,2016,Rio de Janeiro,Judo,Judo Men's Half-Lightweight,Individual,0,0,1
Cai Zelin,M,China,2016,Rio de Janeiro,Athletics,Athletics Men's 20 kilometres Walk,Individual,0,1,0
Gwak Dong-Han,M,South Korea,2016,Rio de Janeiro,Judo,Judo Men's Middleweight,Individual,0,0,1
Naito Ehara,M,Japan,2016,Rio de Janeiro,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Team,0,0,1
"Asuka Antonio ""Aska"" Cambridge",M,Japan,2016,Rio de Janeiro,Athletics,Athletics Men's 4 x 100 metres Relay,Team,0,1,0
Cao Yuan,M,China,2016,Rio de Janeiro,Diving,Diving Men's Springboard,Individual,1,0,0
Cao Yuan,M,China,2016,Rio de Janeiro,Diving,Diving Men's Synchronized Springboard,Team,0,0,1
Fan Yilin,F,China,2016,Rio de Janeiro,Gymnastics,Gymnastics Women's Team All-Around,Team,0,0,1
Zhang Mengxue,F,China,2016,Rio de Janeiro,Shooting,"Shooting Women's Air Pistol, 10 metres",Individual,1,0,0
Chan Peng Soon,M,Malaysia,2016,Rio de Janeiro,Badminton,Badminton Mixed Doubles,Team,0,1,0
Chang Hye-Jin,F,South Korea,2016,Rio de Janeiro,Archery,Archery Women's Individual,Individual,1,0,0
Chang Hye-Jin,F,South Korea,2016,Rio de Janeiro,Archery,Archery Women's Team,Team,1,0,0
Chen Aisen,M,China,2016,Rio de Janeiro,Diving,Diving Men's Platform,Individual,1,0,0
Chen Aisen,M,China,2016,Rio de Janeiro,Diving,Diving Men's Synchronized Platform,Team,1,0,0
Feng Shanshan,F,China,2016,Rio de Janeiro,Golf,Golf Women's Individual,Individual,0,0,1
Guo Li,F,China,2016,Rio de Janeiro,Synchronized Swimming,Synchronized Swimming Women's Team,Team,0,1,0
Gu Xiao,F,China,2016,Rio de Janeiro,Synchronized Swimming,Synchronized Swimming Women's Team,Team,0,1,0
Zhong Tianshi,F,China,2016,Rio de Janeiro,Cycling,Cycling Women's Team Sprint,Team,1,0,0
Karina Khavazhevna Goricheva,F,Kazakhstan,2016,Rio de Janeiro,Weightlifting,Weightlifting Women's Middleweight,Individual,0,0,1
Yuan Xinyue,F,China,2016,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,Team,1,0,0
Kim So-Hui,F,South Korea,2016,Rio de Janeiro,Taekwondo,Taekwondo Women's Flyweight,Individual,1,0,0
Hu Jianguan,M,China,2016,Rio de Janeiro,Boxing,Boxing Men's Flyweight,Individual,0,0,1
Wang Shun,M,China,2016,Rio de Janeiro,Swimming,Swimming Men's 200 metres Individual Medley,Individual,0,0,1
Oh Hye-Ri,F,South Korea,2016,Rio de Janeiro,Taekwondo,Taekwondo Women's Welterweight,Individual,1,0,0
Nozomi Okuhara,F,Japan,2016,Rio de Janeiro,Badminton,Badminton Women's Singles,Individual,0,0,1
Om Yun-Chol,M,North Korea,2016,Rio de Janeiro,Weightlifting,Weightlifting Men's Bantamweight,Individual,0,1,0
Kano Omata,F,Japan,2016,Rio de Janeiro,Synchronized Swimming,Synchronized Swimming Women's Team,Team,0,0,1
Shohei Ono,M,Japan,2016,Rio de Janeiro,Judo,Judo Men's Lightweight,Individual,1,0,0
Shinobu Ota,M,Japan,2016,Rio de Janeiro,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",Individual,0,1,0
Pan Feihong,F,China,2016,Rio de Janeiro,Rowing,Rowing Women's Lightweight Double Sculls,Team,0,0,1
Pang Wei,M,China,2016,Rio de Janeiro,Shooting,"Shooting Men's Air Pistol, 10 metres",Individual,0,0,1
Park In-Bee,F,South Korea,2016,Rio de Janeiro,Golf,Golf Women's Individual,Individual,1,0,0
Park Sang-Young,M,South Korea,2016,Rio de Janeiro,Fencing,"Fencing Men's epee, Individual",Individual,1,0,0
Qin Kai,M,China,2016,Rio de Janeiro,Diving,Diving Men's Synchronized Springboard,Team,0,0,1
Hassan Sabzali Rahimi,M,Iran,2016,Rio de Janeiro,Wrestling,"Wrestling Men's Featherweight, Freestyle",Individual,0,0,1
Nidzhat Aliyevich Rakhimov,M,Kazakhstan,2016,Rio de Janeiro,Weightlifting,Weightlifting Men's Middleweight,Individual,1,0,0
Ren Cancan,F,China,2016,Rio de Janeiro,Boxing,Boxing Women's Flyweight,Individual,0,0,1
Ren Qian,F,China,2016,Rio de Janeiro,Diving,Diving Women's Platform,Individual,1,0,0
Ghasem Gholamreza Rezaei,M,Iran,2016,Rio de Janeiro,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Individual,0,0,1
Ri Se-Gwang,M,North Korea,2016,Rio de Janeiro,Gymnastics,Gymnastics Men's Horse Vault,Individual,1,0,0
Rim Jong-Sim,F,North Korea,2016,Rio de Janeiro,Weightlifting,Weightlifting Women's Heavyweight,Individual,1,0,0
Ruslan Nurudinov,M,Uzbekistan,2016,Rio de Janeiro,Weightlifting,Weightlifting Men's Heavyweight,Individual,1,0,0
Pandelela Rinong anak Pamg,F,Malaysia,2016,Rio de Janeiro,Diving,Diving Women's Synchronized Platform,Team,0,1,0
Adilbek Sabitovich Niyazymbetov,M,Kazakhstan,2016,Rio de Janeiro,Boxing,Boxing Men's Light-Heavyweight,Individual,0,1,0
Kei Nishikori,M,Japan,2016,Rio de Janeiro,Tennis,Tennis Men's Singles,Individual,0,0,1
Misaki Matsutomo,F,Japan,2016,Rio de Janeiro,Badminton,Badminton Women's Doubles,Team,1,0,0
Bektemir Ruzmatzhonovich Melikuziyev,M,Uzbekistan,2016,Rio de Janeiro,Boxing,Boxing Men's Middleweight,Individual,0,1,0
Meng Suping,F,China,2016,Rio de Janeiro,Weightlifting,Weightlifting Women's Super-Heavyweight,Individual,1,0,0
Risako Mitsui,F,Japan,2016,Rio de Janeiro,Synchronized Swimming,Synchronized Swimming Women's Duet,Team,0,0,1
Wei Qiuyue,F,China,2016,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,Team,1,0,0
Risako Mitsui,F,Japan,2016,Rio de Janeiro,Synchronized Swimming,Synchronized Swimming Women's Team,Team,0,0,1
Hiromi Miyake,F,Japan,2016,Rio de Janeiro,Weightlifting,Weightlifting Women's Flyweight,Individual,0,0,1
Jun Mizutani,M,Japan,2016,Rio de Janeiro,Table Tennis,Table Tennis Men's Singles,Individual,0,0,1
Jun Mizutani,M,Japan,2016,Rio de Janeiro,Table Tennis,Table Tennis Men's Team,Team,0,1,0
Sohrab Moradi,M,Iran,2016,Rio de Janeiro,Weightlifting,Weightlifting Men's Middle-Heavyweight,Individual,1,0,0
Takanori Nagase,M,Japan,2016,Rio de Janeiro,Judo,Judo Men's Half-Middleweight,Individual,0,0,1
Kanami Nakamaki,F,Japan,2016,Rio de Janeiro,Synchronized Swimming,Synchronized Swimming Women's Team,Team,0,0,1
Wang Zhen,M,China,2016,Rio de Janeiro,Athletics,Athletics Men's 20 kilometres Walk,Individual,1,0,0
Mai Nakamura,F,Japan,2016,Rio de Janeiro,Synchronized Swimming,Synchronized Swimming Women's Team,Team,0,0,1
Misato Nakamura,F,Japan,2016,Rio de Janeiro,Judo,Judo Women's Half-Lightweight,Individual,0,0,1
Lilyana Natsir,F,Indonesia,2016,Rio de Janeiro,Badminton,Badminton Mixed Doubles,Team,1,0,0
Ikhtiyor Karimovich Navruzov,M,Uzbekistan,2016,Rio de Janeiro,Wrestling,"Wrestling Men's Welterweight, Freestyle",Individual,0,0,1
Dilshod Nazarov,M,Tajikistan,2016,Rio de Janeiro,Athletics,Athletics Men's Hammer Throw,Individual,1,0,0
Wang Yan,F,China,2016,Rio de Janeiro,Gymnastics,Gymnastics Women's Team All-Around,Team,0,0,1
Koki Niwa,M,Japan,2016,Rio de Janeiro,Table Tennis,Table Tennis Men's Team,Team,0,1,0
Kianoush Rostami,M,Iran,2016,Rio de Janeiro,Weightlifting,Weightlifting Men's Light-Heavyweight,Individual,1,0,0
Olga Sergeyevna Rypakova (Alekseyeva-),F,Kazakhstan,2016,Rio de Janeiro,Athletics,Athletics Women's Triple Jump,Individual,0,0,1
Masato Sakai,M,Japan,2016,Rio de Janeiro,Swimming,Swimming Men's 200 metres Butterfly,Individual,0,1,0
Sun Yanan,F,China,2016,Rio de Janeiro,Wrestling,"Wrestling Women's Flyweight, Freestyle",Individual,0,0,1
Sun Yang,M,China,2016,Rio de Janeiro,Swimming,Swimming Men's 200 metres Freestyle,Individual,1,0,0
Sun Yang,M,China,2016,Rio de Janeiro,Swimming,Swimming Men's 400 metres Freestyle,Individual,0,1,0
Sun Yiwen,F,China,2016,Rio de Janeiro,Fencing,"Fencing Women's epee, Individual",Individual,0,0,1
Sun Yiwen,F,China,2016,Rio de Janeiro,Fencing,"Fencing Women's epee, Team",Team,0,1,0
Sun Yujie,F,China,2016,Rio de Janeiro,Fencing,"Fencing Women's epee, Team",Team,0,1,0
Elmira Anuarbekovna Syzdykova,F,Kazakhstan,2016,Rio de Janeiro,Wrestling,"Wrestling Women's Light-Heavyweight, Freestyle",Individual,0,0,1
Haruka Tachimoto,F,Japan,2016,Rio de Janeiro,Judo,Judo Women's Middleweight,Individual,1,0,0
Ayaka Takahashi,F,Japan,2016,Rio de Janeiro,Badminton,Badminton Women's Doubles,Team,1,0,0
Naohisa Takato,M,Japan,2016,Rio de Janeiro,Judo,Judo Men's Extra-Lightweight,Individual,0,0,1
Tan Jiaxin,F,China,2016,Rio de Janeiro,Gymnastics,Gymnastics Women's Team All-Around,Team,0,0,1
Tan Wee Kiong,M,Malaysia,2016,Rio de Janeiro,Badminton,Badminton Men's Doubles,Team,0,1,0
Eri Tosaka,F,Japan,2016,Rio de Janeiro,Wrestling,"Wrestling Women's Flyweight, Freestyle",Individual,1,0,0
Tan Ya-Ting,F,Chinese Taipei,2016,Rio de Janeiro,Archery,Archery Women's Team,Team,0,0,1
Yusuke Tanaka,M,Japan,2016,Rio de Janeiro,Gymnastics,Gymnastics Men's Team All-Around,Team,1,0,0
Sopita Tanasan,F,Thailand,2016,Rio de Janeiro,Weightlifting,Weightlifting Women's Flyweight,Individual,1,0,0
Tang Mengni,F,China,2016,Rio de Janeiro,Synchronized Swimming,Synchronized Swimming Women's Team,Team,0,1,0
Elmurat Zulypkarovich Tasmuradov,M,Uzbekistan,2016,Rio de Janeiro,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",Individual,0,0,1
Sergiu Toma,M,United Arab Emirates,2016,Rio de Janeiro,Judo,Judo Men's Half-Middleweight,Individual,0,0,1
Sun Wenyan,F,China,2016,Rio de Janeiro,Synchronized Swimming,Synchronized Swimming Women's Team,Team,0,1,0
Sun Wenyan,F,China,2016,Rio de Janeiro,Synchronized Swimming,Synchronized Swimming Women's Duet,Team,0,1,0
Sukanya Srisurat,F,Thailand,2016,Rio de Janeiro,Weightlifting,Weightlifting Women's Lightweight,Individual,1,0,0
Rustam Tulaganov,M,Uzbekistan,2016,Rio de Janeiro,Boxing,Boxing Men's Heavyweight,Individual,0,0,1
Joseph Isaac Schooling,M,Singapore,2016,Rio de Janeiro,Swimming,Swimming Men's 100 metres Butterfly,Individual,1,0,0
Diyorbek Urozboyev,M,Uzbekistan,2016,Rio de Janeiro,Judo,Judo Men's Extra-Lightweight,Individual,0,0,1
Daiya Seto,M,Japan,2016,Rio de Janeiro,Swimming,Swimming Men's 400 metres Individual Medley,Individual,0,0,1
Dariga Shakimova,F,Kazakhstan,2016,Rio de Janeiro,Boxing,Boxing Women's Middleweight,Individual,0,0,1
Denis Ulanov,M,Kazakhstan,2016,Rio de Janeiro,Weightlifting,Weightlifting Men's Light-Heavyweight,Individual,0,0,1
Shang Chunsong,F,China,2016,Rio de Janeiro,Gymnastics,Gymnastics Women's Team All-Around,Team,0,0,1
Shi Jinglin,F,China,2016,Rio de Janeiro,Swimming,Swimming Women's 200 metres Breaststroke,Individual,0,0,1
Shi Tingmao,F,China,2016,Rio de Janeiro,Diving,Diving Women's Springboard,Individual,1,0,0
Shi Tingmao,F,China,2016,Rio de Janeiro,Diving,Diving Women's Synchronized Springboard,Team,1,0,0
Kaori Matsumoto,F,Japan,2016,Rio de Janeiro,Judo,Judo Women's Lightweight,Individual,0,0,1
Shi Zhiyong,M,China,2016,Rio de Janeiro,Weightlifting,Weightlifting Men's Lightweight,Individual,1,0,0
Kenzo Shirai,M,Japan,2016,Rio de Janeiro,Gymnastics,Gymnastics Men's Team All-Around,Team,1,0,0
Kenzo Shirai,M,Japan,2016,Rio de Janeiro,Gymnastics,Gymnastics Men's Horse Vault,Individual,0,0,1
Si Yajie,F,China,2016,Rio de Janeiro,Diving,Diving Women's Platform,Individual,0,1,0
P. V. Sindhu,F,India,2016,Rio de Janeiro,Badminton,Badminton Women's Singles,Individual,0,1,0
Kohei Uchimura,M,Japan,2016,Rio de Janeiro,Gymnastics,Gymnastics Men's Team All-Around,Team,1,0,0
Kohei Uchimura,M,Japan,2016,Rio de Janeiro,Gymnastics,Gymnastics Men's Individual All-Around,Individual,1,0,0
Pimsiri Sirikaew,F,Thailand,2016,Rio de Janeiro,Weightlifting,Weightlifting Women's Lightweight,Individual,0,1,0
Yeldos Bakhtybayevich Smetov,M,Kazakhstan,2016,Rio de Janeiro,Judo,Judo Men's Extra-Lightweight,Individual,0,1,0
Rishod Rashidovich Sobirov,M,Uzbekistan,2016,Rio de Janeiro,Judo,Judo Men's Half-Lightweight,Individual,0,0,1
Shin Seung-Chan,F,South Korea,2016,Rio de Janeiro,Badminton,Badminton Women's Doubles,Team,0,0,1
Hsu Shu-Ching,F,Chinese Taipei,2016,Rio de Janeiro,Weightlifting,Weightlifting Women's Featherweight,Individual,1,0,0
Takeshi Matsuda,M,Japan,2016,Rio de Janeiro,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Team,0,0,1
Kei Marumo,F,Japan,2016,Rio de Janeiro,Synchronized Swimming,Synchronized Swimming Women's Team,Team,0,0,1
Jeong Gyeong-Eun,F,South Korea,2016,Rio de Janeiro,Badminton,Badminton Women's Doubles,Team,0,0,1
Jin Jong-O,M,South Korea,2016,Rio de Janeiro,Shooting,"Shooting Men's Free Pistol, 50 metres",Individual,1,0,0
Rie Kaneto,F,Japan,2016,Rio de Janeiro,Swimming,Swimming Women's 200 metres Breaststroke,Individual,1,0,0
Ryohei Kato,M,Japan,2016,Rio de Janeiro,Gymnastics,Gymnastics Men's Team All-Around,Team,1,0,0
Risako Kawai,F,Japan,2016,Rio de Janeiro,Wrestling,"Wrestling Women's Middleweight, Freestyle",Individual,1,0,0
Farkhad Ibragimovich Kharki,M,Kazakhstan,2016,Rio de Janeiro,Weightlifting,Weightlifting Men's Featherweight,Individual,0,0,1
Ki Bo-Bae,F,South Korea,2016,Rio de Janeiro,Archery,Archery Women's Individual,Individual,0,0,1
Ki Bo-Bae,F,South Korea,2016,Rio de Janeiro,Archery,Archery Women's Team,Team,1,0,0
Kim Hyeon-Wu,M,South Korea,2016,Rio de Janeiro,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Individual,0,0,1
Yang Fangxu,F,China,2016,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,Team,1,0,0
Kim Jeong-Hwan,M,South Korea,2016,Rio de Janeiro,Fencing,"Fencing Men's Sabre, Individual",Individual,0,0,1
Yan Ni,F,China,2016,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,Team,1,0,0
Kim Jong-Hyeon,M,South Korea,2016,Rio de Janeiro,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Individual,0,1,0
