Name,Gender,Country,Year,Host_City,Sport,Event,Sport_Type,Gold,Silver,Bronze
Muhammad Bashir,M,Pakistan,1960,Roma,Wrestling,"Wrestling Men's Welterweight, Freestyle",Individual,0,0,1
Anwar Ahmed Khan,M,Pakistan,1960,Roma,Hockey,Hockey Men's Hockey,Team,1,0,0
Takashi Ono,M,Japan,1960,Roma,Gymnastics,Gymnastics Men's Parallel Bars,Individual,0,0,1
Govind Rao Sawant,M,India,1960,Roma,Hockey,Hockey Men's Hockey,Team,0,1,0
Shuji Tsurumi,M,Japan,1960,Roma,Gymnastics,Gymnastics Men's Pommelled Horse,Individual,0,0,1
Takashi Ono,M,Japan,1960,Roma,Gymnastics,Gymnastics Men's Individual All-Around,Individual,0,1,0
Katsuki Ishihara,M,Japan,1960,Roma,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Team,0,0,1
Takashi Ono,M,Japan,1960,Roma,Gymnastics,Gymnastics Men's Rings,Individual,0,0,1
Takashi Mitsukuri,M,Japan,1960,Roma,Gymnastics,Gymnastics Men's Team All-Around,Team,1,0,0
Hiroshi Ishii,M,Japan,1960,Roma,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Team,0,1,0
Takashi Ono,M,Japan,1960,Roma,Gymnastics,Gymnastics Men's Team All-Around,Team,1,0,0
Abdul Wahid Aziz,M,Iraq,1960,Roma,Weightlifting,Weightlifting Men's Lightweight,Individual,0,0,1
Abdul Waheed Khan,M,Pakistan,1960,Roma,Hockey,Hockey Men's Hockey,Team,1,0,0
Akio Kaminaga,M,Japan,1964,Tokyo,Judo,Judo Men's Open Class,Individual,0,1,0
Shuji Tsurumi,M,Japan,1964,Tokyo,Gymnastics,Gymnastics Men's Pommelled Horse,Individual,0,1,0
Haruhiro Yamashita (-Matsuda),M,Japan,1964,Tokyo,Gymnastics,Gymnastics Men's Horse Vault,Individual,1,0,0
Sata Isobe (-Maruyama),F,Japan,1964,Tokyo,Volleyball,Volleyball Women's Volleyball,Team,1,0,0
Yojiro Uetake,M,Japan,1964,Tokyo,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Individual,1,0,0
Ayano Shibuki (-Yaegashi),F,Japan,1964,Tokyo,Volleyball,Volleyball Women's Volleyball,Team,1,0,0
Kim Ui-Tae,M,South Korea,1964,Tokyo,Judo,Judo Men's Middleweight,Individual,0,0,1
Kokichi Tsuburaya,M,Japan,1964,Tokyo,Athletics,Athletics Men's Marathon,Individual,0,0,1
Haruhiro Yamashita (-Matsuda),M,Japan,1964,Tokyo,Gymnastics,Gymnastics Men's Team All-Around,Team,1,0,0
Tsuyoshi Yamanaka,M,Japan,1964,Tokyo,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Team,0,0,1
Isao Inokuma,M,Japan,1964,Tokyo,Judo,Judo Men's Heavyweight,Individual,1,0,0
Hiroko Tsuji (-Kato),F,Japan,1964,Tokyo,Gymnastics,Gymnastics Women's Team All-Around,Team,0,0,1
Setsuko Sasaki,F,Japan,1964,Tokyo,Volleyball,Volleyball Women's Volleyball,Team,1,0,0
Yutaka Demachi,M,Japan,1964,Tokyo,Volleyball,Volleyball Men's Volleyball,Team,0,0,1
Jang Chang-Seon,M,South Korea,1964,Tokyo,Wrestling,"Wrestling Men's Flyweight, Freestyle",Individual,0,1,0
Hari Pal Kaushik,M,India,1964,Tokyo,Hockey,Hockey Men's Hockey,Team,1,0,0
Takao Sakurai,M,Japan,1964,Tokyo,Boxing,Boxing Men's Bantamweight,Individual,1,0,0
Toshiko Shirasu-Aihara,F,Japan,1964,Tokyo,Gymnastics,Gymnastics Women's Team All-Around,Team,0,0,1
Naohiro Ikeda (-Nakano),M,Japan,1964,Tokyo,Volleyball,Volleyball Men's Volleyball,Team,0,0,1
Anwar Ahmed Khan,M,Pakistan,1964,Tokyo,Hockey,Hockey Men's Hockey,Team,0,1,0
Yukio Endo,M,Japan,1964,Tokyo,Gymnastics,Gymnastics Men's Parallel Bars,Individual,1,0,0
Anthony N. Villanueva,M,Philippines,1964,Tokyo,Boxing,Boxing Men's Featherweight,Individual,0,1,0
Masae Kasai (-Nakamura),F,Japan,1964,Tokyo,Volleyball,Volleyball Women's Volleyball,Team,1,0,0
